,Open,High,Low,Close,Volume
2014-05-19,6.730731964111328,6.730731964111328,6.730731964111328,6.730731964111328,0
2014-05-20,6.74050076802287,6.760038432505819,6.672118709425214,6.711194038391113,13055964
2014-05-21,6.7600387824890635,6.847958510121481,6.7600387824890635,6.808882713317871,26344692
2014-05-22,6.828420476227315,6.916340205114005,6.8088828104541275,6.887033939361572,31058867
2014-05-23,6.935877870887192,6.9456469366811335,6.887033939361572,6.887033939361572,22982537
2014-05-26,6.9749530718401385,7.004259802858551,6.945646806636413,6.984722137451172,19627564
2014-05-27,6.955415318236382,6.955415318236382,6.89680232275747,6.906571388244629,18493520
2014-05-28,6.965184223770974,6.984721888481937,6.86749590021616,6.877264499664307,25217885
2014-05-29,6.935877583906059,6.95541524887085,6.906571319366211,6.95541524887085,17462571
2014-05-30,6.974953288668135,6.994490954682876,6.9261093565386345,6.965184688568115,18660499
2014-06-02,6.984721706811696,7.053103298614149,6.965184042608901,7.023797035217285,41801137
2014-06-03,7.004260020597596,7.004260020597596,6.965184688568115,6.965184688568115,14057561
2014-06-04,6.965184223770974,6.9749528232191205,6.86749590021616,6.877264499664307,10926114
2014-06-05,6.9065716905238945,7.004260020597596,6.887034024509154,6.965184688568115,34660942
2014-06-06,7.004260105272792,7.053104037992771,6.9847224390218585,7.043335437774658,22066918
2014-06-09,7.062872466482838,7.082410130970169,7.004259473020845,7.014028072357178,19704641
2014-06-10,7.033565634411354,7.04333469942008,7.0042593710144905,7.023797035217285,12832447
2014-06-11,6.887033751856069,6.896802351569356,6.681888033915527,6.730731964111328,37485120
2014-06-12,6.73073207796691,6.799114140375387,6.701425812516627,6.720963478088379,32086644
2014-06-13,6.603737368647626,6.603737368647626,6.515817642211914,6.515817642211914,27405423
2014-06-16,6.427897499981945,6.466972827911377,6.398591236942198,6.466972827911377,13309965
2014-06-17,6.564661675962264,6.603737472850593,6.4669733482781675,6.506048679351807,20067233
2014-06-18,6.545123690478515,6.584199019642024,6.515817426513216,6.535355091094971,14617940
2014-06-19,6.58419890560465,6.58419890560465,6.535354977903567,6.54512357711792,13076477
2014-06-20,6.496280296470798,6.5060488966581405,6.4669735642793595,6.48651123046875,4278608
2014-06-23,6.48651123046875,6.52558656284753,6.476742630281407,6.48651123046875,14287985
2014-06-24,6.5451237021107085,6.5451237021107085,6.44743537902832,6.44743537902832,18126950
2014-06-25,6.408360206867557,6.496279932703998,6.379053942131863,6.476742267608643,10961024
2014-06-26,6.45720499407963,6.496280326639879,6.398591995239258,6.398591995239258,16070385
2014-06-27,6.437667213067442,6.457204878999367,6.388822815330283,6.408360481262207,7786610
2014-06-30,6.4083602795957635,6.41812934516165,6.339978218078613,6.339978218078613,13980171
2014-07-01,6.31067166915532,6.320440268467128,6.183676617399163,6.193445682525635,15910327
2014-07-02,6.164138952960882,6.193445682525635,6.12506362408432,6.193445682525635,14195134
2014-07-03,6.2813652221273495,6.339978218078613,6.222752226176086,6.339978218078613,20720647
2014-07-04,6.3692848459397915,6.379053911347666,6.349747180938721,6.349747180938721,4333953
2014-07-07,6.388822172052514,6.486510491876093,6.388822172052514,6.466972827911377,15228436
2014-07-08,6.408360072606554,6.437666802542924,6.359516143798828,6.359516143798828,14796265
2014-07-09,6.398591539369186,6.564661458011175,6.379053874481031,6.525586128234863,62083870
2014-07-10,6.486510708261275,6.486510708261275,6.437666779627415,6.44743537902832,10809585
2014-07-11,6.535355394948056,6.613506056908591,6.535355394948056,6.593968391418457,21173255
2014-07-14,6.642812467709574,6.652581067076218,6.613505737980311,6.623274803161621,12023335
2014-07-15,6.584199411862397,6.681888206405154,6.574430811896939,6.672119140625,24513260
2014-07-16,6.701425507127705,6.701425507127705,6.662350177764893,6.662350177764893,10829650
2014-07-17,6.623275225963356,6.633043825953586,6.57443082856812,6.58419942855835,11443571
2014-07-18,6.486510867248981,6.486510867248981,6.437666937417931,6.476742267608643,15021810
2014-07-21,6.5060481558408085,6.515817220730493,6.466972827911377,6.466972827911377,6692942
2014-07-22,6.506048793361103,6.515817859208046,6.476742527449668,6.496280193328857,7766320
2014-07-23,6.545124125119481,6.545124125119481,6.496280193328857,6.496280193328857,6735207
2014-07-24,6.525586459240292,6.535355525087236,6.476742527449668,6.496280193328857,9846099
2014-07-25,6.496279556765777,6.5060481558408085,6.466972827911377,6.466972827911377,5820820
2014-07-28,6.466972827911377,6.466972827911377,6.466972827911377,6.466972827911377,0
2014-07-29,6.466972827911377,6.466972827911377,6.466972827911377,6.466972827911377,0
2014-07-30,6.466972827911377,6.466972827911377,6.466972827911377,6.466972827911377,0
2014-07-31,6.437666965555272,6.437666965555272,6.300902843475342,6.300902843475342,7072454
2014-08-01,6.232521204215344,6.310671864386185,6.212983539172634,6.26182746887207,8504569
2014-08-04,6.339978173836841,6.388822569696057,6.300902843475342,6.300902843475342,8665125
2014-08-05,6.3985920146066375,6.3985920146066375,6.291134616833347,6.310672283172607,9824889
2014-08-06,6.222752094268799,6.2520588245305415,6.193445829821731,6.222752094268799,8835455
2014-08-07,6.242289932565024,6.261827598010662,6.164139270782471,6.164139270782471,8487575
2014-08-08,6.085988608999918,6.164139270782471,6.085988608999918,6.164139270782471,11438463
2014-08-11,6.134833092470958,6.164139358147432,6.0273756980896,6.0273756980896,11331167
2014-08-12,6.076219240842329,6.115295035602758,6.027375312567456,6.105525970458984,7510297
2014-08-13,6.144601503054613,6.203214498415864,6.115295238281328,6.173908233642578,15259999
2014-08-14,6.193445589903482,6.203214189069203,6.105525868338715,6.115294933319092,12482367
2014-08-15,6.076219646462838,6.095757312239965,5.929687386041733,5.939455986022949,11867958
2014-08-18,5.9687627266867755,6.164139384755615,5.949225060879892,6.1543707847595215,17216312
2014-08-19,6.193445560350876,6.291133880615234,6.16413883136424,6.291133880615234,24910858
2014-08-20,6.593968219958471,6.68188794528528,6.593968219958471,6.652581214904785,37462013
2014-08-21,6.652581067076218,6.672118731624172,6.623274803161621,6.623274803161621,11803642
2014-08-22,6.613505998000334,6.6525813286325475,6.593968332684227,6.642812728881836,7710164
2014-08-25,6.652581245695899,6.789344901203634,6.642812646066971,6.779576301574707,16238161
2014-08-26,6.828420378812332,6.847958510121481,6.78934504782341,6.808882713317871,13209931
2014-08-27,6.79911402536307,6.828420290317615,6.730731964111328,6.730731964111328,11122823
2014-08-28,6.691656373908164,6.74050076802287,6.6818877745740215,6.711194038391113,5105019
2014-08-29,6.760038650308928,6.7698072499578075,6.681887989859178,6.691656589508057,9264014
2014-09-01,6.720963148979159,6.760038478209239,6.711194083764305,6.750269412994385,6003690
2014-09-02,6.76980697510677,6.799113704492927,6.750269310787553,6.760038375854492,11265171
2014-09-03,6.877264330459829,6.935877323150635,6.867495731252023,6.935877323150635,17314769
2014-09-04,6.965184166226783,6.9749527655942245,6.906571172578137,6.9261088371276855,15416223
2014-09-05,6.867496358494414,6.984722354582856,6.857727292579693,6.965184688568115,18902610
2014-09-08,6.9749531745910645,6.994490840286262,6.955415508895867,6.9749531745910645,10757318
2014-09-09,6.877264686328099,6.887033751856069,6.730731964111328,6.730731964111328,16793293
2014-09-10,6.701425768929784,6.7111943687447795,6.613506041521395,6.681888103485107,15553087
2014-09-11,6.711194254620494,6.730731919732932,6.633043594170744,6.691656589508057,18926884
2014-09-12,6.701425565034893,6.7209632298851245,6.564661445268598,6.613505840301514,11417260
2014-09-15,6.642812557928257,6.711194151867479,6.642812557928257,6.701425552368164,13101401
2014-09-16,6.633043663316441,6.672118993948653,6.633043663316441,6.642812728881836,12235192
2014-09-17,6.691656373908164,6.72096310353992,6.6818877745740215,6.711194038391113,10520953
2014-09-18,6.613506056908591,6.633043722398725,6.574430725928323,6.593968391418457,8385258
2014-09-19,6.593968627417749,6.65258162598592,6.48651123046875,6.48651123046875,9110666
2014-09-22,6.476742006195207,6.515817334808765,6.457204341888428,6.457204341888428,8424607
2014-09-23,6.525586372115827,6.535355437832341,6.3985917785039765,6.4181294441223145,11993993
2014-09-24,6.3888226406328945,6.408360306030576,6.23252131745144,6.252058982849121,9683235
2014-09-25,6.252058894124246,6.252058894124246,6.154370568522162,6.173908233642578,12995160
2014-09-26,6.222751823522856,6.320440143787215,6.154370232245132,6.291133880615234,10542886
2014-09-29,6.33020981753451,6.408360481262207,6.33020981753451,6.408360481262207,12106448
2014-09-30,6.398591898954762,6.4278981650266,6.261827771237178,6.320440769195557,16671533
2014-10-01,6.388822569696057,6.398591635193773,6.300902843475342,6.300902843475342,8977207
2014-10-02,6.427897519837223,6.437666584757083,6.359515928656818,6.379053592681885,7733754
2014-10-03,6.3985917785039765,6.427898044024137,6.349747381550786,6.4181294441223145,5497722
2014-10-06,6.379053592681885,6.379053592681885,6.379053592681885,6.379053592681885,0
2014-10-07,6.379053592681885,6.379053592681885,6.379053592681885,6.379053592681885,0
2014-10-08,6.281364824874447,6.281364824874447,6.203214168548584,6.203214168548584,12623382
2014-10-09,6.3399779004072485,6.398591359236307,6.300902571730983,6.369284629821777,17794033
2014-10-10,6.271596443999149,6.271596443999149,6.183676719665527,6.183676719665527,16727521
2014-10-13,6.271596489433478,6.300902753880546,6.212983494724668,6.222752094268799,27864051
2014-10-14,6.085988305986103,6.164138963877631,6.06645064151322,6.105525970458984,26188368
2014-10-15,6.232521273505771,6.261827538488311,6.164139212188704,6.21298360824585,21883814
2014-10-16,6.164139009680313,6.1739080748966755,6.095756950609779,6.144601345062256,21891573
2014-10-17,6.232521114476356,6.261827378711115,6.144601390142734,6.183676719665527,40597252
2014-10-20,6.25205843295009,6.388822078704834,6.232520769270841,6.388822078704834,24941498
2014-10-21,6.623275081357519,6.78934500408319,6.574430685028703,6.7698073387146,32928076
2014-10-22,6.75026967334601,6.808882669451779,6.73073200797742,6.7698073387146,19418611
2014-10-23,6.808882395280891,6.857726789642908,6.789344730699018,6.838189125061035,15245037
2014-10-24,6.838189227545608,6.847958292890287,6.779576232921549,6.828420162200928,9792711
2014-10-27,6.838189302757503,7.004259688926249,6.828420237305376,6.994490623474121,31587998
2014-10-28,7.01402848962627,7.082410552307354,6.965184558409518,7.062872886657715,17665286
2014-10-29,7.062872886657715,7.062872886657715,7.062872886657715,7.062872886657715,0
2014-10-30,6.926108594651344,7.160560561037993,6.916339529811243,7.121485233306885,27820782
2014-10-31,7.199635888769102,7.199635888769102,7.101947569441331,7.121485233306885,13938442
2014-11-03,7.141023248921914,7.2387115730615745,7.131254649415284,7.219173908233643,23492163
2014-11-04,7.35593793528113,7.492701587355702,7.297324475720217,7.443857192993164,23597606
2014-11-05,7.424319621834265,7.4536263519835,7.219173908233643,7.219173908233643,17779158
2014-11-06,7.287555898610051,7.385244221819032,7.268018233968254,7.355937957763672,27984313
2014-11-07,7.375475942653187,7.385244542490909,7.150792556609304,7.326631546020508,21197820
2014-11-10,7.287555703960523,7.326631032200419,7.189867383360782,7.199635982513428,9739833
2014-11-11,7.424319440462379,7.688078142103324,7.404781776111742,7.6685404777526855,50456041
2014-11-12,7.795535825050052,7.863917885782087,7.785766759596328,7.815073490142822,21910668
2014-11-13,7.932299945495658,7.932299945495658,7.756460949357375,7.902993679046631,31874984
2014-11-14,7.912762641906738,7.942068907973673,7.863918244042248,7.912762641906738,15849343
2014-11-17,7.912762500882348,7.932299700702304,7.775998375625117,7.795536041259766,16655477
2014-11-18,7.815073664330009,8.00068125394092,7.727153936545595,7.971374988555908,29555437
2014-11-19,7.990913031727347,8.00068116566165,7.834611709226071,7.893224239349365,14090148
2014-11-20,7.9909131899893895,8.137445449829102,7.981144124232239,8.137445449829102,22345717
2014-11-21,8.029987914200591,8.078832307663586,7.951837257311526,8.020218849182129,26167306
2014-11-24,7.9713747834359525,8.010450113486938,7.922530387964882,7.990912914276123,12876622
2014-11-25,8.117908052852242,8.313284705104834,8.0983699218123,8.283977508544922,25692977
2014-11-26,8.323053359985352,8.410972150439294,8.293746164871385,8.323053359985352,17412251
2014-11-27,8.313284959872911,8.469586286464981,8.303515894053557,8.391435623168945,20141097
2014-11-28,8.958027410087537,9.163173111525774,8.909183018006186,8.997102737426758,33419983
2014-12-01,8.723576545715332,8.723576545715332,8.723576545715332,8.723576545715332,287916544
2014-12-02,8.93848991394043,8.93848991394043,8.93848991394043,8.93848991394043,228127456
2014-12-03,8.772419929504395,8.772419929504395,8.772419929504395,8.772419929504395,164811360
2014-12-04,9.212018966674805,9.212018966674805,9.212018966674805,9.212018966674805,284382528
2014-12-05,9.290168387492916,9.339012780779356,9.133867074279758,9.280399322509766,28661353
2014-12-08,9.426932129495746,9.46600746011512,9.348781468256997,9.446470260620117,20938686
2014-12-09,9.426932426979828,9.436701492850295,9.06548537443715,9.075254440307617,22203089
2014-12-10,9.251093607523245,9.446470260620117,9.212018276903871,9.446470260620117,32286633
2014-12-11,9.475776093269836,9.680921802567493,9.202248791416068,9.48554515838623,41514260
2014-12-12,9.378088201875933,9.456238859255789,9.260861284176826,9.358550071716309,17386562
2014-12-15,9.094792562568397,9.44647054887403,9.094792562568397,9.37808895111084,19356664
2014-12-16,9.251094132444564,9.251094132444564,8.821264539612883,9.055717468261719,30789204
2014-12-17,8.928722178768211,9.231555767717488,8.928722178768211,9.075254440307617,24619887
2014-12-18,9.026409555617088,9.221786204339013,8.987334225872702,9.16317367553711,20248971
2014-12-19,9.231555359305379,9.251093490181926,9.14363563361962,9.241324424743652,12290985
2014-12-22,9.251094236482468,9.397626503360149,9.251094236482468,9.387857437133789,24535445
2014-12-23,9.182710991333794,9.260861651816088,9.065485000610352,9.065485000610352,23309205
2014-12-24,9.153404235839844,9.221785827188526,9.124097972637452,9.153404235839844,10415809
2014-12-25,9.182710932651403,9.1924799980566,9.104560272668532,9.11432933807373,3121275
2014-12-26,9.153404815379314,9.163173880941734,9.104560419196584,9.143635749816895,4104652
2014-12-29,9.153404668065166,9.17294279887556,9.09479213889269,9.11432933807373,5177865
2014-12-30,9.251093889815346,9.37808895111084,9.172943226191872,9.37808895111084,14983261
2014-12-31,9.475776961676942,9.57346575853492,9.348781898413334,9.407395362854004,15449446
2015-01-01,9.407395362854004,9.407395362854004,9.407395362854004,9.407395362854004,0
2015-01-02,9.446470202203985,9.563696193337194,9.43670113670221,9.495314598083496,7339894
2015-01-05,9.73953523242129,9.964218139648438,9.73953523242129,9.964218139648438,21727957
2015-01-06,9.915373745842308,10.061906927260699,9.81768588985937,9.964218139648438,8411055
2015-01-07,10.013062728330267,10.110751517843761,9.76884168617587,9.817686080932617,8474396
2015-01-08,9.964219238829475,9.964219238829475,9.768842573681725,9.866531372070312,8623683
